team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Flyers,Philadelphia,2014,82,33,40.2,2.59,29.43
Flyers,Philadelphia,2015,88,43,48.9,2.47,30.65
Flyers,Philadelphia,2016,82,39,47.6,2.59,31.52
Flyers,Philadelphia,2017,88,44,50.0,3.0,31.59
Flyers,Philadelphia,2018,328,148,45.1,2.94,31.5
Flyers,Philadelphia,2019,340,204,60.0,3.12,30.58
Golden Knights,Vegas,2017,102,64,62.7,3.19,32.51
Golden Knights,Vegas,2018,356,184,51.7,3.04,34.37
Golden Knights,Vegas,2019,364,204,56.0,3.09,34.87
Hurricanes,Carolina,2000,73,38,52.1,2.66,27.08
Hurricanes,Carolina,2001,66,35,53.0,2.77,27.8
Hurricanes,Carolina,2002,71,22,31.0,2.1,29.27
Hurricanes,Carolina,2003,68,28,41.2,2.03,28.6
Hurricanes,Carolina,2005,82,52,63.4,3.49,31.13
Hurricanes,Carolina,2006,82,40,48.8,2.94,31.21
Hurricanes,Carolina,2007,82,43,52.4,3.05,32.55
Hurricanes,Carolina,2008,82,45,54.9,2.88,32.62
Hurricanes,Carolina,2009,82,35,42.7,2.76,29.29
Hurricanes,Carolina,2010,82,40,48.8,2.82,30.7
Hurricanes,Carolina,2011,82,33,40.2,2.59,30.46
Hurricanes,Carolina,2012,48,19,39.6,2.65,32.19
Hurricanes,Carolina,2013,82,36,43.9,2.5,31.23
Hurricanes,Carolina,2014,82,30,36.6,2.23,30.78
Hurricanes,Carolina,2015,82,35,42.7,2.39,29.89
Hurricanes,Carolina,2016,82,36,43.9,2.59,30.4
Hurricanes,Carolina,2017,82,36,43.9,2.74,33.91
Hurricanes,Carolina,2018,388,216,55.7,2.91,33.8
Hurricanes,Carolina,2019,301,165,54.8,3.15,32.72
Islanders,NY Islanders,2000,75,21,28.0,2.24,27.52
Islanders,NY Islanders,2001,74,42,56.8,2.92,27.66
Islanders,NY Islanders,2002,71,35,49.3,2.76,29.35
Islanders,NY Islanders,2003,71,38,53.5,2.96,28.06
Islanders,NY Islanders,2005,82,36,43.9,2.7,30.26
Islanders,NY Islanders,2006,82,40,48.8,2.93,29.99
Islanders,NY Islanders,2007,82,35,42.7,2.3,29.7
Islanders,NY Islanders,2008,82,26,31.7,2.41,28.94
Islanders,NY Islanders,2009,82,34,41.5,2.61,30.41
Islanders,NY Islanders,2010,82,30,36.6,2.74,29.38
Islanders,NY Islanders,2011,82,34,41.5,2.39,29.39
Islanders,NY Islanders,2012,54,26,48.1,2.81,31.15
Islanders,NY Islanders,2013,82,34,41.5,2.63,30.94
Islanders,NY Islanders,2014,89,50,56.2,2.92,33.37
Islanders,NY Islanders,2015,93,50,53.8,2.72,29.85
Islanders,NY Islanders,2016,82,41,50.0,2.91,30.24
Islanders,NY Islanders,2017,82,35,42.7,3.18,31.38
Islanders,NY Islanders,2018,360,208,57.8,2.69,28.94
Islanders,NY Islanders,2019,357,189,52.9,2.84,29.74
Jets,Winnipeg,2011,82,37,45.1,2.7,30.13
Jets,Winnipeg,2012,48,24,50.0,2.63,28.96
Jets,Winnipeg,2013,82,37,45.1,2.67,30.68
Jets,Winnipeg,2014,86,43,50.0,2.7,29.73
Jets,Winnipeg,2015,82,35,42.7,2.59,29.62
Jets,Winnipeg,2016,82,40,48.8,3.0,29.85
Jets,Winnipeg,2017,99,61,61.6,3.29,32.42
Jets,Winnipeg,2018,352,196,55.7,3.25,31.02
Jets,Winnipeg,2019,297,152,51.2,2.94,31.23
Kings,Los Angeles,2000,69,38,55.1,3.17,27.48
Kings,Los Angeles,2001,71,40,56.3,2.69,25.55
Kings,Los Angeles,2002,76,33,43.4,2.53,27.68
Kings,Los Angeles,2003,66,28,42.4,2.48,27.97
Kings,Los Angeles,2005,82,42,51.2,2.96,29.2
Kings,Los Angeles,2006,82,27,32.9,2.72,31.0
Kings,Los Angeles,2007,82,32,39.0,2.76,28.65
Kings,Los Angeles,2008,82,34,41.5,2.46,29.06
Kings,Los Angeles,2009,82,46,56.1,2.82,29.13
Kings,Los Angeles,2010,88,48,54.5,2.6,28.77
Kings,Los Angeles,2011,102,56,54.9,2.4,30.59
Kings,Los Angeles,2012,66,36,54.5,2.55,28.65
Kings,Los Angeles,2013,108,62,57.4,2.65,31.8
Kings,Los Angeles,2014,82,40,48.8,2.66,30.93
Kings,Los Angeles,2015,87,49,56.3,2.69,31.61
Kings,Los Angeles,2016,82,39,47.6,2.43,31.15
Kings,Los Angeles,2017,86,45,52.3,2.79,31.1
Kings,Los Angeles,2018,328,124,37.8,2.43,28.76
Kings,Los Angeles,2019,280,116,41.4,2.53,33.21
Lightning,Tampa Bay,2000,76,24,31.6,2.53,24.37
Lightning,Tampa Bay,2001,71,27,38.0,2.15,26.08
Lightning,Tampa Bay,2002,66,36,54.5,2.82,28.98
Lightning,Tampa Bay,2003,74,46,62.2,3.14,29.86
Lightning,Tampa Bay,2005,82,43,52.4,3.0,31.63
Lightning,Tampa Bay,2006,82,44,53.7,2.96,29.49
Lightning,Tampa Bay,2007,82,31,37.8,2.7,28.71
Lightning,Tampa Bay,2008,82,24,29.3,2.52,28.51
Lightning,Tampa Bay,2009,82,34,41.5,2.6,28.87
