venue,season_year,home_games,home_wins,home_win_pct,avg_home_goals,avg_away_goals,home_advantage_uplift
Wells Fargo Center,2019,68,48,70.59,3.53,2.09,20.59
Mosaic Stadium,2019,2,2,100.0,2.0,1.0,50.0
Capital One Arena,2018,90,54,60.0,3.44,2.69,10.0
KeyBank Center,2018,82,42,51.22,2.98,3.15,1.22
Madison Square Garden,2018,82,36,43.9,2.83,2.85,-6.1
Hartwall Arena,2018,4,0,0.0,2.0,4.0,-50.0
Pepsi Center,2017,43,29,67.44,3.49,2.44,17.44
CONSOL Energy Center,2015,54,35,64.81,3.2,2.54,14.81
Bridgestone Arena,2015,47,27,57.45,3.06,2.4,7.45
Rogers Arena,2017,41,16,39.02,2.9,3.41,-10.98
Nationwide Arena,2017,44,26,59.09,2.82,2.52,9.09
Bridgestone Arena,2016,52,33,63.46,3.17,2.31,13.46
TD Garden,2016,44,23,52.27,2.8,2.45,2.27
TD Garden,2015,40,17,42.5,2.75,3.1,-7.5
Rexall Place,2015,41,19,46.34,2.66,2.78,-3.66
STAPLES Center,2017,43,23,53.49,2.81,2.4,3.49
Nationwide Arena,2014,41,19,46.34,2.83,3.24,-3.66
Pepsi Center,2014,41,23,56.1,2.93,2.71,6.1
STAPLES Center,2014,41,25,60.98,2.83,2.12,10.98
Rogers Arena,2014,43,26,60.47,2.91,2.6,10.47
First Niagara Center,2013,41,13,31.71,2.17,2.98,-18.29
HP Pavilion at San Jose,2012,29,22,75.86,3.03,1.97,25.86
Prudential Center,2012,24,13,54.17,2.75,2.46,4.17
Scottrade Center,2012,27,17,62.96,2.41,2.11,12.96
Madison Square Garden,2013,53,27,50.94,2.45,2.21,0.94
HSBC Arena,2010,44,22,50.0,2.98,2.73,0.0
Wells Fargo Center,2010,47,24,51.06,3.15,2.77,1.06
Bridgestone Arena,2011,46,29,63.04,2.89,2.39,13.04
Rexall Place,2011,41,18,43.9,2.63,2.76,-6.1
Tampa Bay Times Forum,2011,26,15,57.69,3.15,3.23,7.69
CONSOL Energy Center,2011,44,30,68.18,3.68,2.66,18.18
Nassau Coliseum,2011,41,17,41.46,2.54,3.0,-8.54
TD Garden,2011,45,25,55.56,3.13,2.22,5.56
Ericsson Globe,2011,2,2,100.0,2.5,1.5,50.0
Nationwide Arena,2009,41,20,48.78,2.71,2.71,-1.22
Pepsi Center,2009,41,24,58.54,3.07,2.54,8.54
Staples Center,2009,41,22,53.66,3.1,2.73,3.66
Jobing.com Arena,2009,41,29,70.73,3.12,2.46,20.73
Sommet Center,2009,29,16,55.17,2.69,2.66,5.17
Madison Square Garden,2008,40,25,62.5,2.8,2.33,12.5
Scotiabank Place,2008,40,22,55.0,2.95,2.65,5.0
RBC Center,2008,41,26,63.41,2.85,2.59,13.41
O2 Czech Republic,2008,2,1,50.0,1.5,1.5,0.0
Scotiabank Place,2007,41,22,53.66,3.24,3.07,3.66
RBC Center,2007,41,24,58.54,3.41,2.95,8.54
Madison Square Garden,2007,41,25,60.98,2.59,2.2,10.98
TD Banknorth Garden,2006,41,18,43.9,2.68,3.46,-6.1
HP Pavilion at San Jose,2006,41,25,60.98,3.29,2.29,10.98
Scottrade Center,2006,41,18,43.9,2.68,2.98,-6.1
Glendale Arena,2006,4,1,25.0,1.75,3.25,-25.0
HSBC Arena,2002,36,18,50.0,2.89,2.72,0.0
Savvis Center,2002,37,23,62.16,3.54,2.62,12.16
HP Pavilion at San Jose,2003,34,24,70.59,2.91,1.97,20.59
MCI Center,2003,35,13,37.14,2.43,3.06,-12.86
Arrowhead Pond,2003,34,19,55.88,2.88,2.68,5.88
Glendale Arena,2003,34,11,32.35,2.44,3.53,-17.65
Staples Center,2005,41,26,63.41,2.95,2.93,13.41
Nationwide Arena,2005,41,23,56.1,2.95,3.2,6.1
Pepsi Center,2005,41,25,60.98,3.68,2.95,10.98
Nassau Coliseum,2000,40,12,30.0,2.38,3.53,-20.0
Ice Palace,2000,38,17,44.74,2.74,3.16,-5.26
First Union Center,2000,37,26,70.27,3.08,2.11,20.27
America West Arena,2001,38,27,71.05,3.55,2.32,21.05
Centre Molson,2001,35,21,60.0,2.6,2.14,10.0
Corel Centre,2001,38,21,55.26,2.82,2.39,5.26
Air Canada Centre,2001,35,24,68.57,3.34,2.29,18.57
Xcel Energy Center,2001,33,14,42.42,2.45,2.82,-7.58
United Center,2001,36,28,77.78,2.83,1.92,27.78
Mellon Arena,2001,37,16,43.24,2.73,3.11,-6.76
Madison Square Garden,2019,72,36,50.0,3.42,3.25,0.0
O2 Czech Republic,2019,2,2,100.0,4.0,3.0,50.0
KeyBank Center,2019,68,40,58.82,3.18,2.88,8.82
Capital One Arena,2019,66,36,54.55,3.42,3.18,4.55
PPG Paints Arena,2018,86,46,53.49,3.19,3.07,3.49
PNC Arena,2018,96,58,60.42,3.15,2.52,10.42
Wells Fargo Center,2018,80,36,45.0,2.93,3.3,-5.0
BB&T Center,2018,80,40,50.0,3.43,2.95,0.0
STAPLES Center,2015,44,26,59.09,2.57,2.39,9.09
STAPLES Center,2016,41,23,56.1,2.8,2.59,6.1
TD Garden,2017,47,31,65.96,3.7,2.64,15.96
Bridgestone Arena,2017,48,31,64.58,3.4,2.79,14.58
Rogers Arena,2016,41,18,43.9,2.17,2.8,-6.1
Nationwide Arena,2015,41,18,43.9,2.93,3.12,-6.1
Pepsi Center,2015,40,17,42.5,2.63,3.03,-7.5
Nationwide Arena,2016,43,29,67.44,3.23,2.23,17.44
Pepsi Center,2016,41,13,31.71,2.34,3.32,-18.29
Rogers Arena,2015,41,15,36.59,2.34,2.88,-13.41
Ericsson Globe,2017,2,1,50.0,3.5,3.5,0.0
TCF Bank Stadium,2015,1,1,100.0,6.0,1.0,50.0
BMO Field,2016,1,1,100.0,5.0,4.0,50.0
Heinz Field,2016,1,1,100.0,4.0,2.0,50.0
CONSOL Energy Center,2014,43,23,53.49,2.79,2.53,3.49
Rexall Place,2014,41,15,36.59,2.34,3.05,-13.41
Bridgestone Arena,2014,43,30,69.77,3.07,2.42,19.77
TD Garden,2014,41,24,58.54,2.68,2.24,8.54
Nassau Coliseum,2014,44,27,61.36,3.23,2.64,11.36
Honda Center,2013,48,33,68.75,3.4,2.38,18.75
Scotiabank Saddledome,2012,24,13,54.17,3.25,3.33,4.17
Xcel Energy Center,2013,47,31,65.96,2.74,2.11,15.96
Joe Louis Arena,2012,30,17,56.67,2.77,2.37,6.67
Air Canada Centre,2013,41,24,58.54,3.2,3.07,8.54
United Center,2013,50,34,68.0,3.48,2.4,18.0
Verizon Center,2013,41,21,51.22,2.9,2.85,1.22
MTS Centre,2013,41,18,43.9,3.05,3.12,-6.1
Centre Bell,2012,27,15,55.56,2.81,2.59,5.56
The Big House,2013,1,0,0.0,2.0,3.0,-50.0
American Airlines Center,2010,41,22,53.66,2.85,2.46,3.66
Jobing.com Arena,2011,50,26,52.0,2.6,2.5,2.0
Nationwide Arena,2011,41,17,41.46,2.59,2.85,-8.54
Staples Center,2011,48,27,56.25,2.42,1.88,6.25
Pepsi Center,2011,41,22,53.66,2.49,2.54,3.66
Rogers Arena,2011,44,27,61.36,3.05,2.45,11.36
McMahon Stadium,2010,1,1,100.0,4.0,0.0,50.0
Hartwall Areena,2010,2,1,50.0,2.5,2.5,0.0
TD Garden,2009,40,17,42.5,2.5,2.55,-7.5
Rexall Place,2009,41,18,43.9,2.9,3.22,-6.1
Nassau Coliseum,2009,41,23,56.1,3.05,2.78,6.1
